model,model_detay,model_yili,fiyat,sehir,ilce,ilan_turu,tip,marka,motor_hacmi,motor_tipi,donanim
Hyundai i20 1.2 MPI Jump,2017 MODEL HYUNDAI İ-20-1.2MPİ BENZİNLİ-150.000KM-JUMP 84 HP,2017,658000,Bursa,Nilüfer,galeriden,satilik,hyundai,1.2,mpi,jump
Mercedes - Benz A 180 d Style,Tolga HAS'dan/HATASIZ/BOYASIZ/CAM TAVAN/81.000 KM,2020,1950000,Kütahya,Merkez,galeriden,satilik,mercedes,a.180,d,style
Fiat Doblo Combi 1.6 Multijet Safeline,ERTEPE OTOMOTİVDEN 69.bin km 1.6 K .K 12.TAKSİT 105 lik,2021,830000,Antalya,Kumluca,galeriden,satilik,fiat,combi.1,6,multijet
Volkswagen Passat 1.5 TSi Business,ARS'DEN 2022 1.5 TSİ BUSİNESS YENİ TİP-CRUİSE-DİJİTAL-ŞERİT-AZ K,2022,1559800,İstanbul,Esenyurt,galeriden,satilik,volkswagen,1.5,tsi,business
Renault Megane 1.3 TCe Icon,2024 MOD. OTO. MEGANE 1.3Tce 140hp İCON BOYASIZ HATASIZ 40 BİNDE,2024,1480000,Kayseri,Kocasinan,galeriden,satilik,renault,1.3,tce,icon
Renault Megane 1.5 Blue DCI Touch,2022 MOD. OTOMATİK MEGANE 1.5 Blue DCİ TOUCH BOYASIZ,2022,1375000,Kayseri,Kocasinan,galeriden,satilik,renault,1.5,blue,dci
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,2019 MOD. OTOMATİK PASSAT 1.6 TDI COMFORTLINE HATASIZ,2019,1635000,Kayseri,Kocasinan,galeriden,satilik,volkswagen,1.6,tdi,bluemotion
Volkswagen Taigo 1.0 TSI Style,PAŞALILAR OTOMOTİV'DEN HATASIZ OTOMATİK TAIGO,2023,1527000,Muğla,Menteşe,galeriden,satilik,volkswagen,1.0,tsi,style
Audi A3 Sportback 1.0 TFSI Design Line,137.000KM BOYASIZ A3 1.0TFSİ DESİNGLİNE+PRESTİJ+CAMTAVAN+KEYLESS,2017,1345000,Afyonkarahisar,Merkez,galeriden,satilik,audi,sportback.1,0,tfsi
Mercedes - Benz C 180 BlueEFFICIENCY Fascination,İKİKA'DAN 2014 C180 FASCİNATİON 7G-TRONİC 156HP,2014,1290000,Çanakkale,Merkez,galeriden,satilik,mercedes,c.180,blueefficiency,fascination
